"","Line #","Name","Description","Designator","Quantity","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Supplier Subtotal 1"
,"27","ABS07-32.768KHZ-T","Crystal 32.768kHz ±20ppm (Tol) 12.5pF FUND 70kΩ 2-Pin CSMD T/R","X1","1","Abracon","ABS07-32.768KHZ-T","Volume Production","Newark","06X4692","0.415","0.415"
,"2","0.1UF 16V","Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R","C2, C6, C7, C13","4","Yageo","CC0603KRX7R7BB104","Volume Production","ICSOSO Electronics Company Limited","CC0603KRX7R7BB104","0.01","0.04"
,"3","0.01uF 16V","Capacitor Surface Mount 0603 Footprint 0.01UF 16V 10% Tolerance Ceramic X7R","C1","1","Yageo","CC0603KRX7R7BB103","Volume Production","Digikey","311-3369-1-ND","0.1","0.1"
,"4","4.7UF 16V","Capacitor Surface Mount 0805 Footprint 4.7UF 16V 10% Tolerance Ceramic X7R","C3, C15, C16","3","Yageo","CC0805KKX7R7BB475","Volume Production","SHENGYU ELECTRONICS","CC0805KKX7R7BB475","0.1","0.3"
,"5","47pF 50V 5%","Capacitor Surface Mount 0603 Footprint 47PF 50V 5% Tolerance Ceramic C0G","C4, C5","2","Yageo Phycomp","CC0603JRNPO9BN470","Volume Production","ICSOSO Electronics Company Limited","CC0603JRNPO9BN470","0.01","0.02"
,"7","CAP 0603 1UF 16V 10% X7R, 1uF 16V","Capacitor Surface Mount 0603 Footprint 1UF 16V 10% Tolerance Ceramic X7R","C12, C14, C17, C21_1, C21_2, C22_1, C22_2, C29, C32, C33, C34, C35","12","Yageo","CC0603KRX7R7BB105","Volume Production","LKR","CC0603KRX7R7BB105","0.026","0.312"
,"6","10UF 16V","Capacitor Surface Mount 0805 Footprint 10UF 16V 20% Tolerance Ceramic X7R","C8, C9","2","Yageo","CC0805KKX5R7BB106","Volume Production","ICSOSO Electronics Company Limited","CC0805KKX5R7BB106","0.08","0.16"
,"8","18pF","Capacitor Surface Mount 0603 Footprint 18PF 50V 5% Tolerance Ceramic C0G","C10, C11","2","Yageo","CC0603JRNPO9BN180","Volume Production","Newark","68R4719","0.006","0.012"
,"18","27 1%","Resistor Surface Mount, 27 Ohms, 0603 Footprint, 1% Tolerance 0.1W","R1, R2","2","Stackpole Electronics","RMCF0603FT27R0","Volume Production","LKR","RMCF0603FT27R0","0.009","0.018"
,"19","1K 1%","Resistor Surface Mount, 1K Ohms, 0603 Footprint, 1% Tolerance 0.1W","R3, R4, R5, R10, R11, R12","6","Stackpole Electronics","RMCF0603FT1K00","Volume Production","NAC Semi","RMCF0603FT1K00","0.005","0.03"
